materia_id,materia_nombre,inscriptos,duracion_horas,dia,hora_inicio,salones,capacidad_total,estado
219,"REFRIGERACION",10,4.0,14,12.0,"310;116",22,OK
43,"COSTOS PARA INGENIERIA",9,4.0,22,8.0,"722",10,OK
98,"GESTION DE CALIDAD",9,4.0,24,8.0,"722;C21;309",51,OK
110,"HORMIGON ESTRUCTURAL 2",9,2.0,6,12.0,"722",10,OK
122,"INSTALACIONES ELECTRICAS",9,4.0,14,16.0,"722",10,OK
216,"REDES DE DATOS 1",9,2.0,15,8.0,"116;102",31,OK
59,"ELECTRONICA DE POTENCIA",8,4.0,24,12.0,"722;725",30,OK
96,"GEOMETRIA Y ALGEBRA LINEAL 1 INTERACTIVA",8,3.0,1,11.0,"B01",223,OK
131,"INT. A LA ELECTROTECNIA",8,3.0,17,8.0,"722",10,OK
169,"MATEMATICA 1",8,3.0,20,11.0,"722",10,OK
204,"PROCEDIMIENTOS CONST.PARA ESTRUCTURAS",8,2.0,3,8.0,"722",10,OK
225,"SEGURIDAD EN LA CONSTRUCCION",8,4.0,1,8.0,"501",62,OK
227,"SEÑALES ALEATORIAS Y MODULACION",8,4.0,3,8.0,"311",29,OK
126,"INT. A LA CIENCIA DE LOS MATERIALES",7,1.5,10,16.0,"116;722",16,OK
170,"MATEMATICA 2",7,3.0,16,8.0,"722",10,OK
213,"PUENTES",7,4.0,13,8.0,"705;116",26,OK
68,"ELEMENTOS DE TOPOGRAFIA",6,4.0,9,16.0,"116",6,OK
72,"ESTRUCTURAS DE ACERO",6,2.0,1,19.0,"116",6,OK
88,"GENERADORES DE VAPOR",6,4.0,1,12.0,"725",20,OK
111,"HORMIGON ESTRUCTURAL 3",6,5.5,11,8.0,"601;C11",85,OK
113,"INGENIERIA BIOQUIMICA",6,4.0,11,16.0,"116",6,OK
135,"INT. A LA FISICA MODERNA",6,4.0,1,8.0,"311;310",45,OK
171,"MATEMATICA 3",6,3.0,15,18.0,"116",6,OK
179,"MECANICA DE LOS FLUIDOS",6,4.0,8,16.0,"116",6,OK
195,"ORDENAMIENTO TERRITORIAL 1",6,4.0,23,12.0,"116",6,OK
18,"AVALUACIONES 3",5,4.0,8,8.0,"B22;102;116",63,OK
36,"COMPORTAMIENTO MEC. DE MATERIALES",5,3.5,10,17.5,"116",6,OK
75,"ESTRUCTURAS DE MADERA",5,4.0,8,12.0,"102;601;116",91,OK
87,"FUND. DE LA PROD. DE CELULOSA Y PAPEL",5,3.0,7,18.0,"116",6,OK
91,"GEODESIA 3",5,4.0,6,8.0,"725;311",49,OK
100,"GESTION DEL MANTENIMIENTO",5,4.0,2,8.0,"703",20,OK
103,"HIDRAULICA FLUVIAL Y MARITIMA",5,4.0,2,8.0,"725;727",40,OK
149,"INT. A LA TERMODINAMICA",5,3.0,1,8.0,"116",6,OK
160,"MAMPOSTERIA ESTRUCTURAL",5,4.0,22,12.0,"307;725",200,OK
164,"MAQUINAS PARA FLUIDOS",5,4.0,22,8.0,"116;310;C21;309",63,OK
259,"TRANSFERENCIA DE CALOR",5,4.0,22,8.0,"B11;B21;725",109,OK
270,"TRANSPORTE URBANO",5,4.0,12,8.0,"B23;A11",126,OK
273,"VIBRACIONES Y ONDAS",5,4.0,21,16.0,"116",6,OK
13,"ASPECTOS BASICOS DE REDES DE COMPUT",4,3.0,6,12.0,"116;309;C21",47,OK
49,"DISEÑO HIDROLOGICO",4,4.0,6,15.0,"116",6,OK
53,"ECONOMÍA (AREA)",4,4.0,2,12.0,"116;A11",31,OK
55,"ELASTICIDAD",4,4.0,13,16.0,"116",6,OK
58,"ELECTRONICA AVANZADA 2",4,3.0,25,8.0,"Actos",128,OK
70,"ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS",4,4.0,21,8.0,"116;727",26,OK
71,"ENSAYOS ELECTRICOS Y EQUIPOS DE MEDIA TENSION",4,4.0,20,11.0,"B01;A12;309",358,OK
101,"GESTION DE LOS RRHH. EN LA PROD. DE BIENES Y SERV.",4,4.0,2,16.0,"116;310",22,OK
151,"INT. AL DERECHO",4,2.0,8,8.0,"727",20,OK
163,"MAQUINAS ELECTRICAS",4,2.5,25,8.0,"A22",124,OK
185,"METALURGIA FISICA",4,4.0,1,15.0,"116;A12;C21;310",166,OK
197,"PATOLOGIA DE LAS ESTRUCTURAS",4,2.0,20,19.0,"116",6,OK
199,"POTABILIZACION DE AGUAS",4,4.0,9,8.0,"312;727;722",124,OK
269,"TRANSPORTE POR CARRETERA",4,4.0,14,16.0,"116",6,OK
274,"CALCULO Y AJUSTE DE LAS OBSERVACIONES",4,4.0,15,10.0,"116",6,OK
275,"GEODESIA GEOMETRICA",4,2.0,7,16.0,"116;725;727",46,OK
3,"ADMINISTRACION DE OPERACIONES",3,2.5,8,8.0,"C01",194,OK
4,"AGRIMENSURA LEGAL 1",3,4.0,19,8.0,"116;310",22,OK
5,"AGRIMENSURA LEGAL 2",3,4.0,1,8.0,"703",20,OK
10,"ANTENAS Y PROPAGACION",3,4.0,17,12.0,"116",6,OK
46,"DISEÑO CATASTRAL",3,4.0,18,12.0,"116;310",22,OK
99,"GESTION DE CALIDAD AMBIENTAL",3,4.0,15,14.0,"116",6,OK
120,"INGLES TECNICO",3,4.0,23,16.0,"116",6,OK
125,"INSTRUMENTACION Y CONTROL",3,3.0,4,8.0,"116;722;A22;C11",165,OK
134,"INT. A LA EVALUACION Y GESTION AMBIENTAL",3,4.0,3,15.0,"A11;116;722",41,OK
147,"INT. A LA PREVENCION DE RIESGOS LABORALES",3,4.0,12,12.0,"705;725",40,OK
153,"INT. A LOS SIST. DE PROT. DE SIST. ELECT. DE POT.",3,4.0,16,16.0,"116",6,OK
156,"LABORATORIO DE TECNOLOGIA DEL HORMIGON",3,4.0,10,8.0,"B01",223,OK
166,"MAQUINAS PARA FLUIDOS II",3,4.0,21,8.0,"307",180,OK
184,"METALURGIA DE TRANSFORMACION",3,4.0,3,11.0,"116;305;725",61,OK
186,"MET. COMPUT.APLIC.AL CALCULO ESTRUCTURAL",3,4.0,1,12.0,"B21",39,OK
192,"MOTORES DE COMBUSTION INTERNA",3,3.0,4,8.0,"A01",145,OK
193,"OBRAS HIDRAULICAS",3,4.0,23,15.5,"725;309",36,OK
211,"PROYECTO DE INGENIERIA MECANICA",3,4.0,21,8.0,"B01",223,OK
218,"REDES ELECTRICAS",3,3.0,12,8.0,"B01",223,OK
229,"SISTEMAS DE CONDUCCION EN ING.SANITARIA",3,4.0,21,8.0,"C01",194,OK
231,"SISTEMAS DE REFERENCIA EN GEODESIA",3,4.0,15,8.0,"B01",223,OK
235,"SUBESTACIONES EN MEDIA TENSION",3,4.0,17,16.0,"116",6,OK
267,"TRANSPORTE FLUVIAL Y MARITIMO",3,4.0,25,8.0,"B01",223,OK
272,"TRATAMIENTO DE EFLUENTES Y RESIDUOS SOLIDOS",3,4.0,2,8.0,"C11",25,OK
6,"AGRIMENSURA LEGAL 3",2,4.0,10,8.0,"C01",194,OK
7,"AGRIMENSURA LEGAL 4",2,4.0,4,15.0,"116;309;502",42,OK
11,"APLICACIONES DEL ALGEBRA LINEAL",2,3.0,24,8.0,"307",180,OK
28,"CARTOGRAFIA MATEMATICA",2,4.0,13,8.0,"B01",223,OK
35,"COMPORTAMIENTO MECANICO DE MATERIALES 2",2,3.5,7,12.0,"B23;B01;B11",374,OK
38,"COMUNICACIONES DIGITALES",2,4.0,16,8.0,"312",94,OK
45,"DISEÑO ASISTIDO POR COMPUTADOR",2,4.0,10,12.0,"A11",25,OK
48,"DISEÑO DE REDES DE COND.EN ING.SANITARIA",2,4.0,21,12.0,"116;B21",45,OK
65,"ELEMENTOS DE MAQUINAS",2,4.0,14,8.0,"727",20,OK
83,"FOTOGRAMETRIA",2,4.0,25,8.0,"C01",194,OK
89,"GEODESIA 1",2,4.0,22,12.0,"309",16,OK
117,"INGENIERIA DE SOFTWARE",2,4.0,19,12.0,"116;102",31,OK
133,"INT. A LA EVAL.DE LA CAL.DE LA INF.GEOGR.(ÁREA)",2,4.0,15,8.0,"C01",194,OK
140,"INT. A LA INGENIERIA NAVAL",2,4.0,17,8.0,"116;115",46,OK
141,"INT. A LA INGENIERIA SANITARIA",2,4.0,25,8.0,"116;725;B21",65,OK
162,"MAQUINARIA NAVAL",2,4.0,19,8.0,"B01",223,OK
198,"PLANEAMIENTO ESTRATEGICO Y ESTRATEGIA COMPETITIVA",2,4.0,6,8.0,"116;727;B11",76,OK
209,"PROGRAMACION AVANZADA",2,4.0,17,8.0,"307",180,OK
214,"REDES DE ACCESO",2,4.0,7,8.0,"116;311;B22;A11",92,OK
217,"REDES DE DATOS 2",2,4.0,13,8.0,"C01",194,OK
224,"RESISTENCIA DE MATERIALES 2",2,3.0,14,8.0,"A01",145,OK
232,"SISTEMAS OLEOHIDRAULICOS Y NEUMATICOS",2,4.0,1,15.0,"305;727;309",71,OK
237,"TALLER DE DATOS ESPAC.Y SIST.DE INF.GEO.",2,4.0,19,16.0,"727;116",26,OK
238,"TALLER REPR. Y COM. GRAFICA - MODULO_CIVIL",2,4.0,15,8.0,"31;705",55,OK
242,"TECNOLOGIA Y SERV. INDUSTRIALES 1",2,4.0,5,8.0,"727;310;311;722",75,OK
244,"TEC.Y UTILIZACION DE GASES COMBUSTIBLES",2,4.0,19,8.0,"725",20,OK
246,"TEORIA DE ERRORES 1",2,4.0,21,8.0,"A01",145,OK
247,"TEORIA DE ERRORES 2",2,4.0,15,8.0,"307",180,OK
254,"TIEMPOS Y METODOS",2,4.0,16,8.0,"B01",223,OK
257,"TOPOGRAFIA 3",2,4.0,11,8.0,"116;727",26,OK
264,"TRANSPORTE AEREO",2,4.0,18,16.0,"116;703",26,OK
271,"TRATAMIENTO DE EFLUENTES",2,4.0,20,11.0,"B21;116;A22",169,OK
276,"QUIMICA DE ALIMENTOS",2,4.0,25,8.0,"307",180,OK
2,"ADMINISTRACION DE INFRAESTRUCTURAS",1,4.0,9,12.0,"B01;C01",417,OK
8,"ALISTAMIENTO NAVAL",1,4.0,23,8.0,"116;31",41,OK
9,"ANALISIS DE ALIMENTOS",1,4.0,19,8.0,"307",180,OK
14,"ASTRONOMIA GEODESICA",1,4.0,4,8.0,"C01",194,OK
15,"AUTOMATAS PROGRAMABLES",1,4.0,12,15.5,"116;309",22,OK
16,"AVALUACIONES 1",1,4.0,14,8.0,"C01",194,OK
17,"AVALUACIONES 2",1,4.0,11,12.0,"310",16,OK
19,"BASES DE DATOS I",1,4.0,18,8.0,"116;727;C21",51,OK
20,"BASES DE DATOS II",1,4.0,21,8.0,"Actos",128,OK
25,"CALIDAD DE AGUAS",1,4.0,9,12.0,"722;725",30,OK
27,"CAPTURA DE DATOS POR PERCEPCION REMOTA",1,4.0,24,8.0,"501",62,OK
29,"CARTOGRAFÍA TEMÁTICA",1,4.0,25,8.0,"A01",145,OK
30,"CARTOGRAFÍA TEMÁTICA (ÁREA)",1,4.0,3,8.0,"C11;310",41,OK
31,"CATASTRO",1,4.0,13,12.0,"705",20,OK
32,"COMERCIALIZACION",1,4.0,5,12.0,"116;B11;C11;722",91,OK
33,"COMPL.ARQUITECTURA DE COMPUTADORAS",1,4.0,17,8.0,"A01",145,OK
40,"CONTABILIDAD (ACT.COMPL.4)",1,4.0,19,8.0,"C01",194,OK
44,"DINAMICA DE MAQUINAS Y VIBRACION",1,4.0,24,16.0,"116;725",26,OK
47,"DISEÑO DE PROCESOS QUIMICOS",1,4.0,22,12.0,"C21",25,OK
51,"DISEÑO Y MONTAJE DE LAS INDUSTRIAS DE PROCESOS",1,4.0,20,8.0,"310",16,OK
54,"EJERCICIOS DE INGENIERIA SANITARIA",1,4.0,20,8.0,"C01",194,OK
63,"ELEMENTOS DE GESTION LOGISTICA",1,4.0,16,8.0,"307",180,OK
64,"ELEMENTOS DE INGENIERIA AMBIENTAL",1,4.0,3,10.5,"B22;502",52,OK
67,"ELEMENTOS DE NAVEGACION",1,4.0,10,8.0,"A01",145,OK
73,"ESTRUCTURAS DE BUQUES",1,4.0,25,8.0,"C12",131,OK
74,"ESTRUCTURAS DE DATOS Y ALGORITMOS",1,4.0,9,12.0,"C21;116;727",51,OK
76,"ESTUDIO DEL TRABAJO",1,4.0,10,8.0,"307",180,OK
86,"FUNDAMENTOS DE ROBOTICA INDUSTRIAL",1,4.0,1,12.0,"102;502",45,OK
90,"GEODESIA 2",1,4.0,14,8.0,"B01",223,OK
92,"GEOESTADISTICA APLICADA",1,4.0,10,8.0,"116;703;102",51,OK
93,"GEOFISICA",1,4.0,13,8.0,"307",180,OK
104,"HIDRAULICA Y NEUMATICA",1,4.0,7,12.0,"116;C21;501;310",109,OK
105,"HIDRODINAMICA NAVAL",1,4.0,21,8.0,"C12",131,OK
106,"HIDROLOGIA AVANZADA II",1,4.0,15,8.0,"A01",145,OK
108,"HIGIENE Y SERV. DE PLANTAS PROC. DE ALIMENTOS",1,4.0,13,8.0,"B11;C21;309;310",107,OK
112,"INGENIERIA AMBIENTAL PARA LA INDUSTRIA DE PROCESOS",1,4.0,11,8.0,"310",16,OK
116,"INGENIERIA DE LOS PROCESOS ELECTROQUIMICOS",1,4.0,14,8.0,"307",180,OK
119,"INGLES CONVERSACIONAL (ACT.COMPL.2)",1,4.0,22,8.0,"B01",223,OK
121,"INGLES TECNICO 1 (ACT.COMPL.1)",1,4.0,3,12.0,"727;309",36,OK
123,"INSTALACIONES GENERALES DE GASES COMBUSTIBLES",1,4.0,17,8.0,"B12",141,OK
128,"INT. A LA COMBUSTION",1,4.0,24,8.0,"703",20,OK
130,"INT. A LA CORROSION DEL HORMIGON ARMADO",1,4.0,16,8.0,"C01",194,OK
132,"INT. A LA EVAL.DE LA CAL.DE LA INF.GEOGR.",1,4.0,5,8.0,"A11",25,OK
136,"INT. A LA GEODESIA Y SIST. DE POS. GLOBAL",1,4.0,18,8.0,"C01",194,OK
145,"INT. AL ANALISIS RURAL",1,4.0,18,8.0,"722",10,OK
150,"INT. AL CONTROL INDUSTRIAL",1,4.0,18,8.0,"307",180,OK
154,"INT. AL SISTEMA CLIMATICO",1,4.0,16,8.0,"116;727",26,OK
155,"INT. AL TRANSPORTE",1,4.0,3,8.0,"727",20,OK
157,"LEGISLACION TERRITORIAL",1,4.0,6,8.0,"722;C21;703",55,OK
161,"MANTENIMIENTO DE BUQUES",1,4.0,1,8.0,"502",20,OK
167,"MAQUINAS Y EQUIPOS PARA TRANSPORTE",1,4.0,23,8.0,"Actos;722;B21",177,OK
168,"MATEMATICA",1,4.0,25,8.0,"B12",141,OK
174,"MATEMATICA DISCRETA Y LOGICA 1",1,4.0,15,8.0,"B12",141,OK
175,"MATEMATICA DISCRETA Y LOGICA 2",1,4.0,8,8.0,"310;B23;705;722",147,OK
180,"MECANICA ESTRUCTURAL",1,4.0,13,8.0,"A01",145,OK
183,"MEDIDAS ELECTRICAS EN INGENIERIA DE PROCESOS",1,4.0,25,16.0,"116;722",16,OK
187,"METEOROLOGIA DINAMICA Y SINOPTICA",1,4.0,1,16.0,"B21",39,OK
189,"MODULO TALLER EXTENSION ING.AMBIENTAL 1",1,4.0,4,8.0,"307",180,OK
190,"MODULO TALLER EXTENSION ING.AMBIENTAL 2",1,4.0,7,8.0,"310",16,OK
191,"MOTORES DE COMB. INT. Y TURBINAS DE GAS",1,4.0,8,8.0,"309;B21;B01",278,OK
194,"OPTICA",1,4.0,11,8.0,"703;722",30,OK
196,"ORDENAMIENTO TERRITORIAL 2",1,4.0,3,12.0,"705",20,OK
200,"PRINCIPIOS DE PROGRAMACION",1,4.0,17,8.0,"C12",131,OK
205,"PRODUCCION CARTOGRAFICA",1,4.0,2,12.0,"727",20,OK
212,"PROYECTO DE INVERSION",1,4.0,16,12.0,"116;310",22,OK
220,"REFRIGERACION INDUSTRIAL",1,4.0,10,8.0,"B12",141,OK
221,"RELACIONES PERSONALES Y LABORALES",1,4.0,13,8.0,"B12",141,OK
222,"REPRESENTACION GRAFICA PARA INDUSTRIAS DE PROC.",1,4.0,10,12.0,"116;B11",56,OK
226,"SEGURIDAD INDUSTRIAL",1,4.0,3,12.0,"310",16,OK
230,"SISTEMAS DE INFORMACION GEOGR. AVANZADO",1,4.0,12,8.0,"116;725;703;727",66,OK
236,"TALLER DE CARTOGRAFIA",1,4.0,16,8.0,"A01",145,OK
239,"TECNOLOGIA DEL HORMIGON",1,4.0,12,8.0,"601;311",89,OK
240,"TECNOLOGIA DE SERVICIOS AUDIOVISUALES",1,4.0,15,8.0,"C12",131,OK
241,"TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES",1,4.0,3,12.0,"C11",25,OK
243,"TECNOLOGIA Y SERV. INDUSTRIALES 2",1,4.0,11,12.0,"116;722",16,OK
248,"TEORIA DE INSTRUMENTAL",1,4.0,17,8.0,"310",16,OK
249,"TEORIA DEL BUQUE",1,4.0,13,12.0,"116;102",31,OK
251,"TEORIA DE MAQUINAS Y MECANISMOS",1,4.0,20,15.0,"116;705;502",46,OK
252,"TEORIA DE RESTRICCIONES",1,4.0,3,8.0,"102",25,OK
255,"TOPOGRAFIA 1",1,4.0,5,8.0,"B21",39,OK
256,"TOPOGRAFIA 2",1,4.0,25,12.0,"116;722",16,OK
258,"TOPOMETRIA",1,4.0,4,8.0,"A21;B01",295,OK
265,"TRANSPORTE DE ENERGIA ELECTRICA",1,4.0,22,8.0,"705",20,OK
266,"TRANSPORTE FERROVIARIO",1,4.0,9,12.0,"703;502",40,OK
268,"TRANSPORTE INDUSTRIAL",1,4.0,1,8.0,"301;A11;727",121,OK
277,"TALLER DE CALIDAD DE DATOS GEOGRAFICOS",1,4.0,15,8.0,"703;310;502",56,OK
280,"GEODESIA ASTRONÓMICA",1,4.0,2,8.0,"722;B11",60,OK
281,"GEODESIA FÍSICA",1,4.0,18,8.0,"A01",145,OK
282,"HIDROGENO VERDE: PRODUCCIÓN Y USOS",1,4.0,19,8.0,"A01",145,OK
283,"MICROBIOLOGIA GENERAL",1,4.0,21,8.0,"B12",141,OK
